x, y, z, C, R, G, B
-5.295420, -3.779400, -0.234009, 1, 0.356759, 0.018488, 0.514673
-6.768368, -4.815025, 0.918789, 1, 0.356759, 0.018488, 0.514673
-5.327426, -3.783919, 0.242921, 1, 0.356759, 0.018488, 0.514673
-5.138272, -3.937621, 0.178561, 1, 0.356759, 0.018488, 0.514673
-5.263991, -3.735961, 0.004394, 1, 0.356759, 0.018488, 0.514673
-5.116235, -3.919033, -0.057817, 1, 0.356759, 0.018488, 0.514673
-5.348565, -3.792617, -0.235842, 1, 0.356759, 0.018488, 0.514673
-6.781485, -4.793090, 0.918569, 1, 0.356759, 0.018488, 0.514673
-5.347175, -3.773319, 0.243292, 1, 0.356759, 0.018488, 0.514673
-5.147942, -3.920022, 0.178478, 1, 0.356759, 0.018488, 0.514673
-5.292590, -3.731895, 0.004408, 1, 0.356759, 0.018488, 0.514673
-5.123460, -3.899685, -0.057763, 1, 0.356759, 0.018488, 0.514673
-5.368346, -3.781946, -0.236201, 1, 0.356759, 0.018488, 0.514673
-6.747353, -4.737991, 0.911973, 1, 0.356759, 0.018488, 0.514673
-5.362817, -3.759764, 0.243478, 1, 0.356759, 0.018488, 0.514673
-5.163930, -3.907225, 0.178616, 1, 0.356759, 0.018488, 0.514673
-5.312205, -3.721378, 0.004415, 1, 0.356759, 0.018488, 0.514673
-5.118652, -3.871281, -0.057575, 1, 0.356759, 0.018488, 0.514673
-5.366823, -3.756290, -0.235626, 1, 0.356759, 0.018488, 0.514673
-6.624908, -4.621729, 0.893503, 1, 0.356759, 0.018488, 0.514673
-6.765268, -5.093322, 0.852257, 1, 0.356759, 0.018488, 0.514673
-7.397082, -5.155623, 0.665137, 1, 0.356759, 0.018488, 0.514673
-5.398927, -3.760428, 0.244592, 1, 0.356759, 0.018488, 0.514673
-5.164707, -3.882954, 0.178230, 1, 0.356759, 0.018488, 0.514673
-5.049634, -4.092726, 0.117429, 1, 0.356759, 0.018488, 0.514673
-5.340834, -3.717059, 0.004429, 1, 0.356759, 0.018488, 0.514673
-5.130504, -3.855558, -0.057575, 1, 0.356759, 0.018488, 0.514673
-5.375861, -3.738095, -0.235518, 1, 0.356759, 0.018488, 0.514673
-6.625168, -4.591757, 0.891634, 1, 0.356759, 0.018488, 0.514673
-6.816714, -5.099362, 0.856763, 1, 0.356759, 0.018488, 0.514673
-5.452348, -3.772847, 0.246487, 1, 0.356759, 0.018488, 0.514673
-5.174994, -3.865894, 0.178175, 1, 0.356759, 0.018488, 0.514673
-5.043478, -4.062163, 0.116995, 1, 0.356759, 0.018488, 0.514673
-5.375243, -3.716580, 0.004448, 1, 0.356759, 0.018488, 0.514673
-5.144713, -3.841595, -0.057602, 1, 0.356759, 0.018488, 0.514673
-5.377437, -3.714769, -0.235087, 1, 0.356759, 0.018488, 0.514673
-6.637588, -4.570282, 0.891414, 1, 0.356759, 0.018488, 0.514673
-5.449898, -3.746478, 0.245855, 1, 0.356759, 0.018488, 0.514673
-5.200475, -3.860128, 0.178644, 1, 0.356759, 0.018488, 0.514673
-5.035622, -4.030426, 0.116526, 1, 0.356759, 0.018488, 0.514673
-5.403930, -3.711962, 0.004463, 1, 0.356759, 0.018488, 0.514673
-5.161293, -3.829368, -0.057656, 1, 0.356759, 0.018488, 0.514673
-5.388808, -3.698253, -0.235087, 1, 0.356759, 0.018488, 0.514673
-6.643374, -4.544285, 0.890314, 1, 0.356759, 0.018488, 0.514673
-7.174150, -4.902760, 0.641006, 1, 0.356759, 0.018488, 0.514673
-5.480346, -3.742702, 0.246710, 1, 0.356759, 0.018488, 0.514673
-5.207466, -3.840595, 0.178478, 1, 0.356759, 0.018488, 0.514673
-5.066743, -4.029895, 0.116959, 1, 0.356759, 0.018488, 0.514673
-5.426857, -3.703256, 0.004472, 1, 0.356759, 0.018488, 0.514673
-5.180261, -3.818856, -0.057737, 1, 0.356759, 0.018488, 0.514673
-5.412515, -3.690148, -0.235626, 1, 0.356759, 0.018488, 0.514673
-6.653996, -4.521648, 0.889874, 1, 0.356759, 0.018488, 0.514673
-5.510823, -3.738775, 0.247564, 1, 0.356759, 0.018488, 0.514673
-5.245026, -3.843508, 0.179360, 1, 0.356759, 0.018488, 0.514673
-5.104184, -4.034171, 0.117537, 1, 0.356759, 0.018488, 0.514673
-5.440676, -3.688273, 0.004474, 1, 0.356759, 0.018488, 0.514673
-5.196793, -3.806490, -0.057790, 1, 0.356759, 0.018488, 0.514673
-5.453598, -3.693700, -0.236920, 1, 0.356759, 0.018488, 0.514673
-5.136167, -3.758504, -0.288230, 1, 0.356759, 0.018488, 0.514673
-5.407579, -3.658402, -0.473606, 1, 0.356759, 0.018488, 0.514673
-6.668661, -4.501768, 0.889984, 1, 0.356759, 0.018488, 0.514673
-7.083382, -4.777234, 0.630265, 1, 0.356759, 0.018488, 0.514673
-5.555414, -3.744190, 0.249050, 1, 0.356759, 0.018488, 0.514673
-5.267299, -3.835047, 0.179719, 1, 0.356759, 0.018488, 0.514673
-5.085871, -3.994408, 0.116833, 1, 0.356759, 0.018488, 0.514673
-5.441183, -3.664302, 0.004465, 1, 0.356759, 0.018488, 0.514673
-5.210872, -3.792294, -0.057817, 1, 0.356759, 0.018488, 0.514673
-5.459929, -3.673604, -0.236705, 1, 0.356759, 0.018488, 0.514673
-5.161410, -3.752716, -0.288999, 1, 0.356759, 0.018488, 0.514673
-5.444439, -3.659041, -0.475849, 1, 0.356759, 0.018488, 0.514673
-6.665930, -4.470217, 0.887786, 1, 0.356759, 0.018488, 0.514673
-7.099662, -4.756590, 0.630412, 1, 0.356759, 0.018488, 0.514673
-5.596769, -3.747143, 0.250388, 1, 0.356759, 0.018488, 0.514673
-5.283089, -3.821799, 0.179857, 1, 0.356759, 0.018488, 0.514673
-5.115442, -3.992319, 0.117230, 1, 0.356759, 0.018488, 0.514673
-5.488970, -3.672057, 0.004495, 1, 0.356759, 0.018488, 0.514673
-5.216810, -3.772188, -0.057754, 1, 0.356759, 0.018488, 0.514673
-5.478652, -3.661833, -0.237028, 1, 0.356759, 0.018488, 0.514673
-5.225534, -3.774887, -0.291940, 1, 0.356759, 0.018488, 0.514673
-5.439878, -3.631799, -0.474474, 1, 0.356759, 0.018488, 0.514673
-6.649834, -4.429906, 0.883828, 1, 0.356759, 0.018488, 0.514673
-6.674424, -4.803886, 0.827624, 1, 0.356759, 0.018488, 0.514673
-6.979724, -4.645273, 0.618494, 1, 0.356759, 0.018488, 0.514673
-5.870897, -4.556935, 0.406400, 1, 0.356759, 0.018488, 0.514673
-5.413751, -4.523434, 0.318876, 1, 0.356759, 0.018488, 0.514673
-5.632369, -3.746004, 0.251465, 1, 0.356759, 0.018488, 0.514673
-5.290731, -3.802656, 0.179719, 1, 0.356759, 0.018488, 0.514673
-5.139518, -3.985797, 0.117501, 1, 0.356759, 0.018488, 0.514673
-5.506873, -3.659628, 0.004501, 1, 0.356759, 0.018488, 0.514673
-5.231607, -3.758499, -0.057790, 1, 0.356759, 0.018488, 0.514673
-5.024853, -3.893783, -0.116066, 1, 0.356759, 0.018488, 0.514673
-5.514005, -3.661039, -0.238071, 1, 0.356759, 0.018488, 0.514673
-5.245207, -3.764662, -0.292392, 1, 0.356759, 0.018488, 0.514673
-5.450164, -3.614541, -0.474402, 1, 0.356759, 0.018488, 0.514673
-6.734678, -4.456657, 0.893283, 1, 0.356759, 0.018488, 0.514673
-6.771683, -4.842420, 0.837838, 1, 0.356759, 0.018488, 0.514673
-5.905407, -4.554757, 0.407820, 1, 0.356759, 0.018488, 0.514673
-5.449124, -4.524672, 0.320140, 1, 0.356759, 0.018488, 0.514673
-5.649671, -3.732562, 0.251725, 1, 0.356759, 0.018488, 0.514673
-5.306440, -3.789311, 0.179857, 1, 0.356759, 0.018488, 0.514673
-5.113707, -3.940716, 0.116634, 1, 0.356759, 0.018488, 0.514673
-5.512233, -3.638859, 0.004496, 1, 0.356759, 0.018488, 0.514673
-5.260205, -3.754631, -0.057979, 1, 0.356759, 0.018488, 0.514673
-5.110449, -3.935078, -0.117764, 1, 0.356759, 0.018488, 0.514673
-5.479327, -3.613842, -0.236094, 1, 0.356759, 0.018488, 0.514673
-5.314480, -3.789733, -0.295604, 1, 0.356759, 0.018488, 0.514673
-5.452899, -3.592316, -0.473678, 1, 0.356759, 0.018488, 0.514673
-6.607123, -4.343160, 0.874592, 1, 0.356759, 0.018488, 0.514673
-5.882896, -4.508679, 0.405308, 1, 0.356759, 0.018488, 0.514673
-5.437552, -4.486952, 0.318650, 1, 0.356759, 0.018488, 0.514673
-5.669451, -3.720695, 0.252097, 1, 0.356759, 0.018488, 0.514673
-5.318041, -3.773013, 0.179857, 1, 0.356759, 0.018488, 0.514673
-5.840306, -3.829760, 0.004754, 1, 0.356759, 0.018488, 0.514673
-5.271699, -3.738475, -0.057979, 1, 0.356759, 0.018488, 0.514673
-5.124086, -3.920596, -0.117800, 1, 0.356759, 0.018488, 0.514673
-5.503763, -3.605778, -0.236669, 1, 0.356759, 0.018488, 0.514673
