x,y,z,C,R,G,B
-6.557426, -9.495112, 3.267270, 1, 0.665329, 0.395827, 0.860268
-7.518624, -9.180099, 3.626920, 1, 0.665329, 0.395827, 0.860268
-7.288869, -8.844080, 3.502983, 1, 0.665329, 0.395827, 0.860268
-6.580825, -9.343892, 3.235940, 1, 0.665329, 0.395827, 0.860268
-7.368900, -9.603858, 3.557232, 1, 0.665329, 0.395827, 0.860268
-6.980199, -9.657009, 3.373790, 1, 0.665329, 0.395827, 0.860268
-7.584711, -8.865379, 3.566120, 1, 0.665329, 0.395827, 0.860268
-7.546986, -8.766692, 3.535721, 1, 0.665329, 0.395827, 0.860268
-7.066501, -9.589257, 3.372701, 1, 0.665329, 0.395827, 0.860268
-7.496002, -9.346852, 3.520862, 1, 0.665329, 0.395827, 0.860268
-7.246632, -9.770785, 3.444350, 1, 0.665329, 0.395827, 0.860268
-6.397742, -9.337733, 3.088516, 1, 0.665329, 0.395827, 0.860268
-7.604179, -9.422364, 3.558078, 1, 0.665329, 0.395827, 0.860268
-7.277149, -9.749277, 3.444623, 1, 0.665329, 0.395827, 0.860268
-7.402003, -9.114489, 3.450377, 1, 0.665329, 0.395827, 0.860268
-7.419003, -9.078364, 3.445302, 1, 0.665329, 0.395827, 0.860268
-7.226583, -9.558614, 3.392860, 1, 0.665329, 0.395827, 0.860268
-7.606481, -9.249714, 3.519170, 1, 0.665329, 0.395827, 0.860268
-7.346033, -9.353604, 3.367524, 1, 0.665329, 0.395827, 0.860268
-7.393105, -9.295552, 3.362893, 1, 0.665329, 0.395827, 0.860268
-7.537025, -9.417057, 3.415200, 1, 0.665329, 0.395827, 0.860268
-7.696244, -9.555750, 3.474045, 1, 0.665329, 0.395827, 0.860268
-7.721889, -9.527608, 3.472410, 1, 0.665329, 0.395827, 0.860268
-7.674033, -9.234549, 3.399671, 1, 0.665329, 0.395827, 0.860268
-7.374582, -8.819021, 3.255010, 1, 0.665329, 0.395827, 0.860268
-7.508775, -8.923722, 3.302141, 1, 0.665329, 0.395827, 0.860268
-7.690127, -9.866818, 3.413346, 1, 0.665329, 0.395827, 0.860268
-7.599053, -8.930900, 3.199600, 1, 0.665329, 0.395827, 0.860268
-5.880526, -6.188840, 2.609406, 2, 0.490387, 0.453792, 0.837573
-5.826791, -6.094732, 2.577253, 2, 0.490387, 0.453792, 0.837573
