x,y,z,C,R,G,B
0, 0, 0, 0, 0, 0, 0
-29.350075, 17.083739, 0.023116, 0, 0.000000, 0.000000, 0.000000
-29.056664, 16.689518, -0.300614, 0, 0.000000, 0.000000, 0.000000
-29.007056, 16.779585, -0.300632, 0, 0.000000, 0.000000, 0.000000
-29.204372, 17.254395, -0.304310, 0, 0.000000, 0.000000, 0.000000
-28.795523, 17.132238, -0.300596, 0, 0.000000, 0.000000, 0.000000
-28.632843, 16.819515, -0.606308, 0, 0.000000, 0.000000, 0.000000
-28.614667, 16.927134, -0.607020, 0, 0.000000, 0.000000, 0.000000
-28.578000, 17.143022, -0.608462, 0, 0.000000, 0.000000, 0.000000
-42.620399, 27.624304, 8.913568, 0, 0.000000, 0.000000, 0.000000
-42.478533, 27.717793, 8.901641, 0, 0.000000, 0.000000, 0.000000
-42.159503, 27.694407, 8.852549, 0, 0.000000, 0.000000, 0.000000
-17.342290, -14.917529, 2.530326, 1, 0.114406, 0.869742, 0.038527
-17.270116, -14.763501, 2.513175, 1, 0.114406, 0.869742, 0.038527
-17.451675, -14.826282, 2.532965, 1, 0.114406, 0.869742, 0.038527
-17.323923, -14.626478, 2.507898, 1, 0.114406, 0.869742, 0.038527
-17.148629, -14.465666, 1.655006, 1, 0.114406, 0.869742, 0.038527
-17.211103, -14.441014, 2.485140, 1, 0.114406, 0.869742, 0.038527
-17.110387, -14.343792, 1.647061, 1, 0.114406, 0.869742, 0.038527
-17.347694, -14.465163, 2.498443, 1, 0.114406, 0.869742, 0.038527
-17.360612, -14.385871, 2.493935, 1, 0.114406, 0.869742, 0.038527
-17.322568, -14.264935, 2.482171, 1, 0.114406, 0.869742, 0.038527
-17.209334, -14.159092, 1.643971, 1, 0.114406, 0.869742, 0.038527
-17.449891, -14.278646, 5.055197, 1, 0.114406, 0.869742, 0.038527
-17.250102, -14.116672, 2.465570, 1, 0.114406, 0.869742, 0.038527
-17.330009, -15.261954, 2.324056, 1, 0.114406, 0.869742, 0.038527
-17.075117, -13.961037, 1.627050, 1, 0.114406, 0.869742, 0.038527
-17.412546, -14.159121, 4.165192, 1, 0.114406, 0.869742, 0.038527
-17.402060, -14.152107, 2.481072, 1, 0.114406, 0.869742, 0.038527
-17.373757, -15.206093, 2.323655, 1, 0.114406, 0.869742, 0.038527
-17.097744, -13.892235, 1.625137, 1, 0.114406, 0.869742, 0.038527
-17.303722, -13.982658, 4.128880, 1, 0.114406, 0.869742, 0.038527
-17.265274, -13.953085, 2.455455, 1, 0.114406, 0.869742, 0.038527
-17.120110, -13.823425, 1.623225, 1, 0.114406, 0.869742, 0.038527
-17.437767, -14.002763, 4.150594, 1, 0.114406, 0.869742, 0.038527
-17.321176, -13.910631, 2.457325, 1, 0.114406, 0.869742, 0.038527
-17.149215, -13.760226, 1.621974, 1, 0.114406, 0.869742, 0.038527
-17.303885, -13.808150, 4.108624, 1, 0.114406, 0.869742, 0.038527
-17.378532, -13.869204, 2.459413, 1, 0.114406, 0.869742, 0.038527
-17.190571, -13.706926, 1.621900, 1, 0.114406, 0.869742, 0.038527
-17.181303, -13.624265, 4.069575, 1, 0.114406, 0.869742, 0.038527
-17.323655, -13.738622, 2.445671, 1, 0.114406, 0.869742, 0.038527
-17.475056, -14.920033, 2.312540, 1, 0.114406, 0.869742, 0.038527
-17.138743, -13.579800, 1.613072, 1, 0.114406, 0.869742, 0.038527
-16.978301, -14.491809, 1.432550, 1, 0.114406, 0.869742, 0.038527
-17.348548, -13.671874, 2.443252, 1, 0.114406, 0.869742, 0.038527
-17.274181, -14.657137, 2.279996, 1, 0.114406, 0.869742, 0.038527
-17.091782, -13.457440, 1.604759, 1, 0.114406, 0.869742, 0.038527
-17.319982, -13.563432, 2.433357, 1, 0.114406, 0.869742, 0.038527
-17.319827, -14.604713, 2.280096, 1, 0.114406, 0.869742, 0.038527
-17.125919, -13.399410, 1.604097, 1, 0.114406, 0.869742, 0.038527
-17.448750, -13.576651, 4.103150, 1, 0.114406, 0.869742, 0.038527
-17.289346, -13.454074, 2.423242, 1, 0.114406, 0.869742, 0.038527
-17.362265, -14.549590, 2.279796, 1, 0.114406, 0.869742, 0.038527
-17.107111, -13.300283, 1.598505, 1, 0.114406, 0.869742, 0.038527
-17.114021, -14.337494, 1.432806, 1, 0.114406, 0.869742, 0.038527
-17.306166, -13.382119, 2.419834, 1, 0.114406, 0.869742, 0.038527
-17.388472, -14.480973, 2.277392, 1, 0.114406, 0.869742, 0.038527
-17.150203, -13.249565, 1.598726, 1, 0.114406, 0.869742, 0.038527
-17.098872, -14.235756, 1.427875, 1, 0.114406, 0.869742, 0.038527
-17.423919, -13.386505, 4.926340, 1, 0.114406, 0.869742, 0.038527
-17.408062, -14.430124, 4.832989, 1, 0.114406, 0.869742, 0.038527
-17.343987, -13.326539, 2.419394, 1, 0.114406, 0.869742, 0.038527
-17.248854, -14.275309, 2.253360, 1, 0.114406, 0.869742, 0.038527
-17.162292, -13.175025, 1.596078, 1, 0.114406, 0.869742, 0.038527
-17.144773, -14.185139, 1.428067, 1, 0.114406, 0.869742, 0.038527
-17.449395, -13.321144, 4.921964, 1, 0.114406, 0.869742, 0.038527
-17.400255, -13.283630, 4.062823, 1, 0.114406, 0.869742, 0.038527
-17.308952, -13.215362, 2.408840, 1, 0.114406, 0.869742, 0.038527
-17.254914, -14.191354, 2.248453, 1, 0.114406, 0.869742, 0.038527
-17.122546, -13.061220, 1.588647, 1, 0.114406, 0.869742, 0.038527
-17.094171, -14.055149, 1.420254, 1, 0.114406, 0.869742, 0.038527
-17.458307, -13.243369, 4.912995, 1, 0.114406, 0.869742, 0.038527
-17.500338, -13.276696, 3.244924, 1, 0.114406, 0.869742, 0.038527
-17.283690, -13.112335, 2.399715, 1, 0.114406, 0.869742, 0.038527
-17.193349, -15.133410, 2.090146, 1, 0.114406, 0.869742, 0.038527
